custName,InvcNum,DueDate,Rep1Id,CustPhone,Email,Addr1,Addr2,City,Region,PostalCode,CustFax,ShipToName,ShipToAddr1,ShipToAddr2,ShipToCity,ShipToRegion,ShipToPostalCode,ShipToContact,ShipPhone
"Boomboom Tacos,Tequila and mezcal",123035,12/8/2023,JS,6143129377,miquielmelendez03@hotmail.com#mailto:miquielmelendez03@hotmail.com,201 Chittenden Ave,199 Chittenden Ave,Columbus,OH,43201,,"Boomboom Tacos,Tequila and mezcal",201 Chittenden Ave,199 Chittenden Ave,Columbus,OH,43201,,6143129377
Brian H. Kelemen & Associates,120777-1,11/29/2023,TS,3133771502,wendys.john@gmail.com#mailto:wendys.john@gmail.com,8187 Rhode Suite C,,Shelby Township,MI,48317,5863230480,"Wendy's site 00319 Utica, MI",45840 Van Dyke,,Utica,MI,48317,,
Brian H. Kelemen & Associates,123121,11/9/2023,TS,3133771502,wendys.john@gmail.com#mailto:wendys.john@gmail.com,8187 Rhode Suite C,,Shelby Township,MI,48317,5863230480,"Wendy's site 08583 Southfield, MI",29069 Greenfield Rd,,Southfield,MI,48076,Store Manager,
Brian H. Kelemen & Associates,123121-1,11/28/2023,TS,3053940315,brxchr@gmail.com#mailto:brxchr@gmail.com,8187 Rhode Suite C,,Shelby Township,MI,48317,5863230480,"Wendy's site 08583 Southfield, MI",29069 Greenfield Rd,,Southfield,MI,48076,,
Caldara & Sons Contracting Inc.,123153,11/15/2023,TS,6315897979,debbie@caldaraandsons.com#mailto:debbie@caldaraandsons.com,624 Portion Rd,,Ronkonkoma,NY,11779,6315892158,Caldara & Sons Contracting Inc. CVS 922,624 Portion Rd,,Ronkonkoma,NY,11779,Debbie Hartmann,6315897979
Capital Property Solutions,123083,11/3/2023,SHOWROOM,6144814411,afitzpatrick@cpscolumbus.com#mailto:afitzpatrick@cpscolumbus.com,2200 West 5th Ave,,Columbus,OH,43215,,THE COURTYARDS AT BEULAH PARK,,,GROVE CITY,OH,43123,,
"Carolina Restaurant Group, Inc.",121215-2,11/21/2023,TS,7049401509,kmarsh@classicburgers.com#mailto:kmarsh@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,Wendy's site 07607 Columbia - SC,2120 Clemson Rd.,,Columbia,SC,29229,Store Manager,
"Carolina Restaurant Group, Inc.",122929,11/17/2023,TS,7049401509,invoices@classicburgers.com#mailto:invoices@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"Wendy's site 13954 Rock Hill, SC",2645 Celanese Rd,,Rock Hill,SC,29732,Store Manager,
"Carolina Restaurant Group, Inc.",123123-1,12/12/2023,TS,7049401509,kmarsh@classicburgers.com#mailto:kmarsh@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"Wendy's Site #11241 Charlotte, NC",9905 Northlake Centre Pkwy,,Charlotte,NC,28216,Store Manager,7049211120
"Carolina Restaurant Group, Inc.",123172-1,11/17/2023,TS,7049401509,kmarsh@classicburgers.com#mailto:kmarsh@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"Wendy's Site #09667 Columbia, SC",100 Newland Rd.,,Columbia,SC,29229,Store Manager,8037886003
"Carolina Restaurant Group, Inc.",123178,11/20/2023,TS,7049401523,kalvis@classicsburgers.com#mailto:kalvis@classicsburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"Wendy's site 09578 Pilot Mountain, NC",806 South Key St.,,Pilot Mountain,NC,27041,Store Manager,
"Carolina Restaurant Group, Inc.",123252,11/17/2023,TS,7049401509,kmarsh@classicburgers.com#mailto:kmarsh@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"The Sign Clinic WEN 14042 Orangeburg, SC",369 Timber Road,,Mooresville,NC,28115,Jeremy Norris,7046644389
Clark Holdings Inc.,122950,12/4/2023,JS,7169122523,kprice@clarkholdingsny.com#mailto:kprice@clarkholdingsny.com,443 S. Cayuga Rd.,,Williamsville,NY,14221,,"Tim Hortons 911666 Pifford, NY",3667 Main St.,,Pifford,NY,,,
CLM Midwest,123270,12/1/2023,TS,7086070022,ssacco@clmmidwest.com#mailto:ssacco@clmmidwest.com,2655 Erie St,,River Grove,IL,60171,7344146002,"CVS 2791 Lombard, IL",1005 East Roosevelt Rd,,Lombard,IL,60148,Store Manager,6306278866
Coldwell Banker Realty,123209,11/28/2023,JP,6144199116,sarah.tilson@cboki.com#mailto:sarah.tilson@cboki.com,4378 Tuller Rd,,Dublin,OH,43017,,Coldwell Banker Realty,4378 Tuller Rd,,Dublin,OH,43017,,6144199116
ComFab,122924,11/17/2023,TS,6142728462,j.patton@comfab-inc.com#mailto:j.patton@comfab-inc.com,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123037,2/1/2024,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123041,11/27/2023,TS,6142728462,j.patton@comfab-inc.com#mailto:j.patton@comfab-inc.com,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123042,12/4/2023,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123189,12/22/2023,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123204,12/5/2023,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123217,11/15/2023,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123291,12/11/2023,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,123292,1/2/2024,TS,6142728462,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
Corporate Building Svc Inc,123250,11/29/2023,TS,8452785858,rhaight@corporatebuilding.com#mailto:rhaight@corporatebuilding.com,2022 Route 22,,Brewster,NY,10509,,"CVS 2333 Pittsburgh, PA",5242 Clairton Blvd.,,Pittsburgh,PA,15222,Store Manager,4128855864
CPW Ventures Oromocto Inc.,122705,11/14/2023,TS,5068974790,wk479@hotmail.com#mailto:wk479@hotmail.com,3 Homestead Drive,,Fredericton,NB,,,"Wendy's site 06717 Oromocto, NB",20 Commerce Dr,,Oromocto,NB,E2V0B9,Store Manager,
CUSTOM SIGN CENTER,123276,1/5/2024,HS,0000,,3200 VALLEYVIEW DRIVE,,Columbus,OH,43204,,CUSTOM SIGN CENTER,3200 VALLEYVIEW DRIVE,,Columbus,OH,43204,,6142796700
Delight Restaurant Group,122961,12/12/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 14175 Mishawaka, IN",3625 Bremen Hwy,,Mishawaka,IN,46544,Store Manager,
Delight Restaurant Group,122961-1,12/15/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 14175 Mishawaka, IN",3625 Bremen Hwy,,Mishawaka,IN,46544,,
Delight Restaurant Group,123136,11/17/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 14082 Fayetteville, NC",2150 Cedar Creek Rd,,Fayetteville,NC,28312,Store Manager,
Delight Restaurant Group,123156,11/15/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02640 Hauppauge, NY",527 Route 111,,Hauppauge,NY,11788,Store Manager,
Delight Restaurant Group,123156-1,11/30/2023,TS,7577650295,,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02640 Hauppauge, NY",527 Route 111,,Hauppauge,NY,11788,,
Delight Restaurant Group,123162,11/16/2023,TS,6142337114,rkrumholz@delightrg.com#mailto:rkrumholz@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02670 Hicksville, NY",60 N Broadway,,Hicksville,NY,11801,Store Manager,
Delight Restaurant Group,123245,11/30/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 08995 Oakdale, NY",885 Montauk Hwy,,Oakdale,NY,11769,Store Manager,
Delight Restaurant Group,82999-1,11/17/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02549 Brooklyn, NY",1602 Shore Parkway,,Brooklyn,NY,11214,Store Manager,
Delight Restaurant Group,82999-2,12/6/2023,TS,7577650295,,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02549 Brooklyn, NY",1602 Shore Parkway,,Brooklyn,NY,11214,,
E.J. WEN Enterprises INC,123367,1/26/2024,TS,9052646672,peter@sparkleventures.com#mailto:peter@sparkleventures.com,1839 Albion Rd,Unit #1,Etobicoke,ON,M9W5S8,,"Wendy's site 06417 Concord, ON",9151 Keele St.,,Concord,ON,L4K5B4,Store Manager,
Eagles Landing Travel Centers,122638,11/15/2023,TS,8658508977,scott@eagleslandingmgmt.com#mailto:scott@eagleslandingmgmt.com,720 S River Road Ste A-105,,St. George,UT,84790,,"Wendy's site 14107 Scipio, UT",810 N 800 W,,Scipio,UT,84656,Store Manager,
Epcon Communities,123198-SVC,11/3/2023,ER,6147611010,dmenerey@epconcommunities.com#mailto:dmenerey@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyard at Carr Farms,Leppert Rd,,Hilliard,OH,43016,,
Epcon Communities,123210,12/1/2023,ER,6147611010,dmenerey@epconcommunities.com#mailto:dmenerey@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyards at Morse Circle,Morse Rd / Reynoldsburg-New Al,,Gahanna,OH,,,
Epcon Communities,123236,11/27/2023,ER,6147611010,EBarritt@epconcommunities.com#mailto:EBarritt@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,Epcon Communities,500 Stonehenge Parkway,,Dublin,OH,43017,,6147611010
Epcon Communities,123286,11/20/2023,ER,6147611010,EBarritt@epconcommunities.com#mailto:EBarritt@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,Courtyards at Mulberry Run,2110 WHITE RD,,Grove City,OH,43123,,
"Excutive Office Group, LLC",110775,1/26/2024,CLF,6144329021,,2682 Cleveland Ave,,Columbus,OH,43211,,"Excutive Office Group, LLC",2682 Cleveland Ave,,Columbus,OH,43211,,6144329021
Fine lIne Autobody,122545,11/3/2023,JP,6149895287,tysafaryan@yahoo.com#mailto:tysafaryan@yahoo.com,4180 Stelzer Rd,,Columbus,OH,43230,,Fine lIne Autobody,4180 Stelzer Rd,,Columbus,OH,43230,,6149895287
Fine lIne Autobody,122956,11/17/2023,JP,6149895287,tysafaryan@yahoo.com#mailto:tysafaryan@yahoo.com,4180 Stelzer Rd,,Columbus,OH,43230,,Fine lIne Autobody,4180 Stelzer Rd,,Columbus,OH,43230,,6149895287
Four Points Pizza & Grill,122825-SVC,11/20/2023,ER,7407393829,leonzhu1988@gmail.com#mailto:leonzhu1988@gmail.com,5277 Columbus Pike,,Lewis Center,OH,43035,,Four Points Pizza & Grill,5277 Columbus Pike,,Lewis Center,OH,43035,,7407393829
Frozen Ice Skating,123049,12/1/2023,JP,6145379441,graniterep@hotmail.com#mailto:graniterep@hotmail.com,6020 Chambersburg Rd.,,Dayton,OH,45424,,Frozen Ice Skating,6020 Chambersburg Rd.,,Dayton,OH,45424,,6145379441
Funny Greek Restaurant,123230,11/10/2023,TF,6148646666,,6184 Livingston Avenue,,Columbus,OH,43232,,Funny Greek Restaurant,6184 Livingston Avenue,,Columbus,OH,43232,,6148646666
Gahanna Grove Condominiums,123280,1/5/2024,ER,6144814411,tbaker@cpscolumbus.com#mailto:tbaker@cpscolumbus.com,Grove Dr,,Gahanna,OH,43230,,"Gahanna Grove Condominiums - Gahanna, OH",Grove Dr,,Gahanna,OH,43230,,6142796700
Grenentec Energy Solutions,122852,11/16/2023,TF,8003404660,graysons@grenentec.com#mailto:graysons@grenentec.com,1322 SE 46th Lane,Unit #201,Cape Coral,FL,33904,,Grenentec/McDonalds Olentangy,2865 Olentangy River Rd,,Columbus,OH,43212,,
Grenentec Energy Solutions,122853,11/13/2023,TF,8003404660,,1322 SE 46th Lane,Unit #201,Cape Coral,FL,33904,,Grenentec/McDonalds West 5th,910 W Fifth Ave,,Columbus,OH,43212,,
Haza Foods LLC,121486-4,11/7/2023,TS,9728161448,tramke@HazaFoods.com#mailto:tramke@HazaFoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 13953 Beaumont, TX",3685 College St.,,Beaumont,TX,77701,,
Haza Foods LLC,122764-1,1/3/2024,TS,6126162231,tbschmitz1@gmail.com#mailto:tbschmitz1@gmail.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 04872 Maplewood, MN",1972 County Rd,,Maplewood,MN,55109,,
Haza Foods LLC,122949,1/26/2024,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 00518 Austin, TX",5000 W Slaughter Lane,,Austin,TX,78749,Store Manager,
Haza Foods LLC,122952,1/26/2024,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 11274 Austin, TX",10701 Research Blvd.,,Austin,TX,78759,Store Manager,
Haza Foods LLC,123163,11/22/2023,TS,2812012764,jimmy@gulshaninc.com#mailto:jimmy@gulshaninc.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 02116 Hopkins, MN",303 11th Ave S,,Hopkins,MN,55343,Store Manager,
ID ASSOCIATES,122170-1,11/24/2023,TS,3348361400,,1771 Industrial Road,,Dothan,AL,36303,3348361401,"Wendy's site 00244 Sand Springs, OK",104 S. Adams Rd.,,Sand Springs,OK,74063,,
ID ASSOCIATES,123182,11/20/2023,TS,3348361400,bgrantham@idassociatesinc.com#mailto:bgrantham@idassociatesinc.com,1771 Industrial Road,,Dothan,AL,36303,3348361401,ID ASSOCIATES,1771 Industrial Road,,Dothan,AL,36303,,3348361400
ID ASSOCIATES,123380,12/1/2023,TS,3348361400,clay@idassociatesinc.com#mailto:clay@idassociatesinc.com,1771 Industrial Road,,Dothan,AL,36303,3348361401,Finuf Sign Co. Inc.,426 Park 20 West,,Grovetown,GA,30813,,7068637327
"Inspired by Opportunity, LLC",106511-5,11/23/2023,TS,9045764210,jratti@mhgi.net#mailto:jratti@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,Wendy's Site #01766,1830 US HWY 1 S,,St Augustine,FL,32084,,
"Inspired by Opportunity, LLC",117490-1,1/12/2024,TS,6166089024,,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site #11284 Jacksonville, FL",12524 San Jose Blvd,,Jacksonville,FL,32223,,9042602393
"Inspired by Opportunity, LLC",120265,1/12/2024,TS,6166089024,RChenoweth@mhgi.net#mailto:RChenoweth@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's site 09893 Jacksonville, FL",10911 Baymeadows Rd.,,Jacksonville,FL,32256,Store Manager,
"Inspired by Opportunity, LLC",120847,1/12/2024,TS,6169888749,GTroth@mhgi.net#mailto:GTroth@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site 00064 Toledo, OH",4277 Monroe St.,,Toledo,OH,43606,Store Manager,
"Inspired by Opportunity, LLC",121779,12/8/2023,TS,6166089024,RChenoweth@mhgi.net#mailto:RChenoweth@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's site 00153 Maumee, OH",914 Conant St.,,Maumee,OH,43537,Store Manager,
"JAI Restaurant Group, LLC",122886,1/19/2024,TS,6023273845,Mike.Crawley@Wendys.com#mailto:Mike.Crawley@Wendys.com,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's site 13985 Pecos, TX",1903 S Cedar St,,Pecos,TX,79772,Store Manager,
"JAI Restaurant Group, LLC",122886-1,1/19/2024,TS,6023273845,Mike.Crawley@Wendys.com#mailto:Mike.Crawley@Wendys.com,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's site 13985 Pecos, TX",1903 S Cedar St,,Pecos,TX,79772,,
"JAI Restaurant Group, LLC",123344,3/15/2024,TS,6023273845,Mike.Crawley@Wendys.com#mailto:Mike.Crawley@Wendys.com,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's site 13984 El Paso, TX",8118 N Loop Dr.,,El Paso,TX,79907,Store Manager,
"JAI Restaurant Group, LLC",123369,12/22/2023,TS,4044724286,Andy.Blackburn@Wendys.com#mailto:Andy.Blackburn@Wendys.com,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's site 08459 Mt. Pleasant, SC",596 Long Point Rd,,Mt. Pleasant,SC,29464,Store Manager,
JMJ-LLC,104921-2,11/14/2023,TS,6234632885,vbrown@jmj-llc.com#mailto:vbrown@jmj-llc.com,5535 West Glenn Dr.,,Glendale,AZ,85301,6234632886,Wendy's Site 00626 Phoenix - AZ,3025 W. Peoria Ave,,Phoenix,AZ,85029,Store Manager,
JMJ-LLC,122794,12/1/2023,TS,6234632885,vbrown@jmj-llc.com#mailto:vbrown@jmj-llc.com,5535 West Glenn Dale Dr.,,Glendale,AZ,85301,6234632886,"Wendy's site 01248 Glendale, AZ",5906 W. Bell Rd.,,Glendale,AZ,85308,Store Manager,
Jordan's Crossing,114540,1/26/2024,JS,6145073246,,342 N Hague Ave,,Columbus,OH,43204,,Jordan's Crossing,342 N Hague Ave,,Columbus,OH,43204,,6145073246
Kiddie Academy of Downington PA,123128,12/1/2023,JS,6102139181,arvind.aravindhan@kiddieacademy.net#mailto:arvind.aravindhan@kiddieacademy.net#,Tell Tavern Blvd &,Uwchlan Ave,Downington,PA,19335,,Kiddie Academy of Downington PA,Tell Tavern Blvd &,Uwchlan Ave,Downington,PA,19335,,4105155411
Kuhns Group Inc,123164,12/15/2023,TS,9378629950,tim@kuhnsgroupinc.com#mailto:tim@kuhnsgroupinc.com,PO Box 317,,Spring Valley,OH,45370,9378629952,"Wendy's Site 10511 Ft Wayne, IN",1702 Apple Glen Blvd,,Ft Wayne,IN,46804,Store Manager,
Kuhns Group Inc,82905-2,12/8/2023,TS,9378629950,jerry@kuhnsgroupinc.com#mailto:jerry@kuhnsgroupinc.com,PO Box 317,,Spring Valley,OH,45370,9378629952,"Wendy's site 10522 Bluffton, OH",352 State Route 103,,Bluffton,OH,45817,Store Manager,
"Legacy Restaurant Group, LLC",123313,12/11/2023,TS,7852333218,vbaumgartner@luminousneon.com#mailto:vbaumgartner@luminousneon.com#,10916 Strang Line Rd,,Lenexa,KS,66215,7852665529,Luminous Neon - Inc.,1805 E 123 Rd St,,Olathe,KS,66061,,6206622363
Lsi Industries,123085,11/13/2023,TS,7133294075,presleigh.bland@lsicorp.com#mailto:presleigh.bland@lsicorp.com,14902 Sommermeyer,Suit 120,Houston,TX,77041,7136907317,LSI Industries/ Phill 66,14902 Sommermeyer,Suit 120,Houston,TX,77041,,7137444194
Lsi Industries,123173,12/1/2023,TS,7133294075,,14902 Sommermeyer,Suit 120,Houston,TX,77041,7136907317,LSI Industries/ Phill 66,14902 Sommermeyer,Suit 120,Houston,TX,77041,,7137444194
Lsi Industries,123174,12/1/2023,TS,7133294075,,14902 Sommermeyer,Suit 120,Houston,TX,77041,7136907317,LSI Industries/ Phill 66,14902 Sommermeyer,Suit 120,Houston,TX,77041,,7137444194
Manna Inc,122369-2,11/30/2023,TS,5028553183,SHettich@bfcompanies.com#mailto:SHettich@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40245,5028553193,WEN #11154 BELLEVILLE - IL,2600 Green Mount Commons Dr.,,Belleville,IL,62221,Store Manager,6182343029
Manna Inc.,103650-3,11/14/2023,TS,9203049001,rmaldonado@bfcompanies.com#mailto:rmaldonado@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,Wendy's Site #01065 Milwaukee - WI,2310 S. 43rd St,,Milwaukee,WI,53219,Store Manager,
Manna Inc.,104445-2,11/14/2023,TS,7574771845,tupton-farrell@vabwendys.com#mailto:tupton-farrell@vabwendys.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11853 Norfolk, VA",9400 Decatur Ave,,Norfolk,VA,23511,Store Manager,
Manna Inc.,107233-2,12/4/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's Site #09570 Hopkinsville, KY",1107 W. 7th Street,,Hopkinsville,KY,42240,,2708254011
Manna Inc.,110359-1,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,WEN #11178 Bridgeton - MO,11961 Paul Mayer Ave,,Bridgeton,MO,63044,,
Manna Inc.,110359-2,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,WEN #11178 Bridgeton - MO,11961 Paul Mayer Ave,,Bridgeton,MO,63044,,
Manna Inc.,121166-6,11/21/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 13952 Plover, WI",1215 Commons Cir,,Plover,WI,54467,,
Manna Inc.,121778-2,11/3/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 14137 South Milwaukee, WI",240 N Chicago Ave,,South Milwaukee,WI,53172,,
Manna Inc.,122368-3,12/1/2023,TS,8154043232,,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11157 Belleville, IL",5959 Belleville Crossing St,,Belleville,IL,62226,,
Manna Inc.,123115,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 08329 Swansea, IL",2638 N. Illinois Ave,,Swansea,IL,62226,Storer Manager,
Manna Inc.,123115-1,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 08329 Swansea, IL",2638 N. Illinois Ave,,Swansea,IL,62226,Storer Manager,
Manna Inc.,123221,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,Wendy's site 04098 St. Peters - MO,275 Mid Rivers Mall Drive,,St. Peters,MO,63376,,
Manna Inc.,123221-1,1/5/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,Wendy's site 04098 St. Peters - MO,275 Mid Rivers Mall Drive,,St. Peters,MO,63376,Store Manager,
Manna Inc.,123240,11/27/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 05568 Green Bay, WI",1100 Radisson St.,,Green Bay,WI,54302,Store Manager,
Manna Inc.,123314,4/12/2024,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11170 St. Louis, MO",3801 Gravois Rd,,St. Louis,MO,63116,Stolre Manager,
