custName,InvcNum,DueDate,Rep1Id,CustPhone,Email,Addr1,Addr2,City,Region,PostalCode,CustFax,ShipToName,ShipToAddr1,ShipToAddr2,ShipToCity,ShipToRegion,ShipToPostalCode,ShipToContact,ShipPhone
ComFab,122622,10/10/2023,TS,7408571107,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
Corporate Building Svc Inc,122399,8/16/2023,TS,8452785858,rhaight@corporatebuilding.com#mailto:rhaight@corporatebuilding.com,2022 Route 22,,Brewster,NY,10509,,"CVS 2494 Mt. Joy, PA",525 West Main St.,,Mt. Joy,PA,17552,Store Manager,6142762651
Corporate Building Svc Inc,122400,8/16/2023,TS,8452785858,rhaight@corporatebuilding.com#mailto:rhaight@corporatebuilding.com,2022 Route 22,,Brewster,NY,10509,,Corporate Building Svc Inc,2022 Route 22,,Brewster,NY,10509,,8452785858
Corporate Building Svc Inc,122651,9/13/2023,TS,8452785858,rhaight@corporatebuilding.com#mailto:rhaight@corporatebuilding.com,2022 Route 22,,Brewster,NY,10509,,"CVS Store 0461 Allentown, PA",3020 Tilghman St.,,Allentown,PA,18104,Store Manager,6107766551
Corporate Building Svc Inc,122735,9/21/2023,TS,8452785858,rhaight@corporatebuilding.com#mailto:rhaight@corporatebuilding.com,2022 Route 22,,Brewster,NY,10509,,Corporate Building Svc Inc,2022 Route 22,,Brewster,NY,10509,Robert Haight,8452785858
CPW Ventures Oromocto Inc.,122705,11/14/2023,TS,5068974790,wk479@hotmail.com#mailto:wk479@hotmail.com,3 Homestead Drive,,Fredericton,NB,,,"Wendy's site 06717 Oromocto, NB",20 Commerce Dr,,Oromocto,NB,E2V0B9,Store Manager,
CUSTOM SIGN CENTER,122595,10/8/2023,HS,0000,,3200 VALLEYVIEW DRIVE,,Columbus,OH,43204,,CUSTOM SIGN CENTER,3200 VALLEYVIEW DRIVE,,Columbus,OH,43204,,6142796700
Darby Creek Nursery,122666,8/28/2023,SHOWROOM,6147710388,jturnbull@darbycreeknursery.net#mailto:jturnbull@darbycreeknursery.net,9050 Amity Pike Rd,,Plain City,OH,43064,,Darby Creek Nursery,9050 Amity Pike Rd,,Plain City,OH,43064,,6147710388
Delight Restaurant Group,122244,9/6/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 08799 Durham, NC",1808 S. Miami Blvd.,,Durham,NC,27703,Store Manager,
Delight Restaurant Group,122544,9/1/2023,TS,7572667786,,PO Box 780761,,Wichita,KS,67278,,Paula VanEeckhoute (Residence),5018 Kelso St,,Suffolk,VA,23435,,
Delight Restaurant Group,122583,9/8/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02466 Merrick, NY",1728 Merrick Rd,,Merrick,NY,11566,Store Manager,
Delight Restaurant Group,122593,9/1/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 09757 Louisburg, NC",328 S. Bickett Blvd.,,Louisburg,NC,27549,,
Delight Restaurant Group,122717,9/20/2023,TS,2526390007,jphillips@delightrg.com#mailto:jphillips@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 09595 Wilson, NC",2815 Raleigh Road Parkway W,,Wilson,NC,27896,Jim Phillips,2526390007
Delight Restaurant Group,88125-1,8/24/2023,TS,7572667786,rjennings@delightrg.com#mailto:rjennings@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's 10543 Holly Springs, NC",181 Grand Hill Place,,Holly Springs,NC,27540,,
Delight Restaurant Group,92608-1,9/7/2023,TS,7577650295,jlevatich@delightrg.com#mailto:jlevatich@delightrg.com,PO Box 780761,,Wichita,KS,67278,,"Wendy's site 02469 Glen Cove, NY",210 Glen St.,,Glen Cove,NY,11542,Store Manager,
Desert Tortoise Council,122693,8/31/2023,ONLINE,7142225932,maridogs@pacbell.net,PO Box 504,-,Ribera,New Mexico,87560,,Desert Tortoise Council Anna Quillman,PO Box 504,-,Ribera,NM,87560,,
Eagles Landing Travel Centers,121195-4,9/21/2023,TS,8658508977,scott@eagleslandingmgmt.com#mailto:scott@eagleslandingmgmt.com,720 S River Road Ste A-105,,St. George,UT,84790,,"Wendy's site 13716 Avoca, IA",7005 N. Chestnut St.,,Avoca,IA,51521,Store Manager,
Eagles Landing Travel Centers,122638,11/15/2023,TS,8658508977,scott@eagleslandingmgmt.com#mailto:scott@eagleslandingmgmt.com,720 S River Road Ste A-105,,St. George,UT,84790,,"Wendy's site 14107 Scipio, UT",810 N 800 W,,Scipio,UT,84656,Store Manager,
Epcon Communities,122215,8/21/2023,JD,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyards on Hyland Run,Hyland Croy Rd,,Dublin,OH,,,
Epcon Communities,122217,8/21/2023,JD,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyard at Carr Farms,Leppert Rd,,Hilliard,OH,43016,,
Epcon Communities,122218,8/21/2023,JD,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyard at Carr Farms,Leppert Rd,,Hilliard,OH,43016,,
Epcon Communities,122230,8/22/2023,JD,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyards at River Bluff,South Section Line Rd.,Concord Township,Delaware,OH,,,
Epcon Communities,122232,9/8/2023,JD,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,"The Courtyards on Hyatts Powell, OH",Korg Way/Gretsch Street,Liberty Township,Powell,OH,43065,,
Epcon Communities,122308,8/29/2023,ER,6147611010,delder@epconcommunities.com#mailto:delder@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyard at Carr Farms,Leppert Rd,,Hilliard,OH,43016,,
Epcon Communities,122517,8/11/2023,ER,6147611010,,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyards at The Beulah Park,3714 Quarter Pole Lane,,Grove City,OH,43123,Angie Bronowski,
Epcon Communities,122569,8/15/2023,ER,6147611010,EBarritt@epconcommunities.com#mailto:EBarritt@epconcommunities.com,500 Stonehenge Parkway,,Dublin,OH,43017,,The Courtyard at Carr Farms,5755 Arcadian Ave.,,Hilliard,OH,43026,Jeremy VanMeter,
"Everbrite, LLC",114446-3,9/6/2023,TS,4145950897,jlange@everbrite.com#mailto:jlange@everbrite.com,315 Marion Avenue,,South Milwaukee,WI,53172,,"Wendy's site 03470 Great Falls, MT",806 10th Ave S,,Great Falls,MT,594052154,Jonna Jones,
"Everbrite, LLC",122093,8/11/2023,TS,4147685445,MDavenport@everbrite.com#mailto:MDavenport@everbrite.com,315 Marion Avenue,,South Milwaukee,WI,53172,,"A-Max Sign Company Inc WEN 14041 Coffeyville, KS",9520 East 55th Place,,Tulsa,OK,74145,Seth Curry,9186220651
"Everbrite, LLC",122213,8/4/2023,TS,6084291648,sstaupe@everbrite.com#mailto:sstaupe@everbrite.com,401 S. Main St.,,Pardeeville,WI,53954,8147867944,Fluoresco Services - LA,2778 Pomona Blvd,,Pomona,CA,91768,,
"Everbrite, LLC",122297-1,8/1/2023,TS,4147685445,,315 Marion Avenue,,South Milwaukee,WI,53172,,"Empire Sign and Crane WEN 08982 Hemet, CA",22816 Cove View St,,Canyon Lake,CA,92587,Store Manager,
"Everbrite, LLC",122330-2,9/21/2023,TS,4147685445,MDavenport@everbrite.com#mailto:MDavenport@everbrite.com,315 Marion Avenue,,South Milwaukee,WI,53172,,"Fluoresco Services - LA WEN 09320 Rancho Mirage, CA",2778 Pomona Blvd,,Pomona,CA,91768,Lyndsee Veltre,9095920870
"Everbrite, LLC",122524,10/1/2023,TS,4147685445,MDavenport@everbrite.com#mailto:MDavenport@everbrite.com,315 Marion Avenue,,South Milwaukee,WI,53172,,"Fluoresco Services - LA WEN 09413 Ontario, CA",2778 Pomona Blvd,,Pomona,CA,91768,Lyndsee Veltre,9095920870
"Everbrite, LLC",122621,9/8/2023,TS,4147685445,MDavenport@everbrite.com#mailto:MDavenport@everbrite.com,315 Marion Avenue,,South Milwaukee,WI,53172,,"Wendy's site 00177 Tulsa, OK",3341 E 31st St,,Tulsa,OK,741351502,Jorge Gato,9497500092
"Excutive Office Group, LLC",110775,12/22/2023,CLF,6144329021,,2682 Cleveland Ave,,Columbus,OH,43211,,"Excutive Office Group, LLC",2682 Cleveland Ave,,Columbus,OH,43211,,6144329021
"Fifer & Associates, Inc",122619,8/18/2023,JS,9018002003,charles.fifer@bellsouth.net#mailto:charles.fifer@bellsouth.net,6423 Summer Gale,,Memphis,TN,38134,,Kiddie Academy of Collierville TN,112 Crescent Dr,,Collierville,TN,38017,,
G.C. WEN Management Corp.,111155-3,8/28/2023,TS,3158497160,tluman@gcwen.com#mailto:tluman@gcwen.com#,1821 Celeste Dr,,Wall Township,NJ,077199506,,WEN #12335 Bristol - PA,3020 Veterans Highway,,Bristol,PA,19007,Store Manager,
Haza Foods LLC,121486-2,8/10/2023,TS,9728161448,tramke@HazaFoods.com#mailto:tramke@HazaFoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 13953 Beaumont, TX",3685 College St.,,Beaumont,TX,77701,,
Haza Foods LLC,122362,8/25/2023,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,Wendy's Site 09392 Baton Rouge - LA,9955 Bluebonnet Rd,,Baton Rouge,LA,70809,Store Manager,
Haza Foods LLC,122443,8/25/2023,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 08851 Baton Rouge, LA",19960 Highland Rd,,Baton Rouge,LA,70809,Store Manager,
Haza Foods LLC,122444,8/25/2023,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 08160 Baton Rouge, LA",8213 Airline Hwy,,Baton Rouge,LA, 70815,Store Manager,
Haza Foods LLC,122542,9/1/2023,TS,8506026488,gfields@hazafoods.com#mailto:gfields@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's 03581 Brainerd, MN",510 W Washington,,Brainerd,MN,56401,,
Haza Foods LLC,122559,9/4/2023,TS,5049572075,doubre@hazafoods.com#mailto:doubre@hazafoods.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 01571 St. Paul, MN",612 University Ave,,St. Paul,MN,55013,Store Manager,
Haza Foods LLC,122657,9/14/2023,TS,8506026488,tbschmitz1@gmail.com#mailto:tbschmitz1@gmail.com,4415 Highway 6,,Sugar Land,TX,77478,,"Wendy's site 01564 Bloomington, MN",2001 American Blvd,,Bloomington,MN,55431,Store Manager,
Heritage Partners,85811-1,8/2/2023,TS,9726449731,william@srrgmgmt.com#mailto:william@srrgmgmt.com,123 Street,,Atlanta,GA,00000,,"Wendy's site 00232 Louisville, KY",8596 Dixie Hwy,,Louisville,KY,40258,Store Manager,
Hoover Foods,122458,8/17/2023,TS,7704480300,julie@hooverfoods.com#mailto:julie@hooverfoods.com,4030 Johns Creek Pkwy,,Suwanee,GA,30024,7704975782,Dominion Site Services,205 Pine Brook Way,,Rozwell,GA,30076,Craig Barclay,4049800054
Hoover Foods,122459,8/24/2023,TS,4042711425,dslimmon@hooverfoods.com#mailto:dslimmon@hooverfoods.com,4030 Johns Creek Pkwy,,Suwanee,GA,30024,7704975782,Hoover Foods,4030 Johns Creek Pkwy,,Suwanee,GA,30024,,7704480300
Huston Electric,103373-6,9/14/2023,TS,3179033653,SteveB@hustonelectric.com#mailto:SteveB@hustonelectric.com,1915 East North Street,,Kokomo,IN,46901,,"Huston Electric WEN 08391 Kokomo, IN",1915 East North Street,,Kokomo,IN,46901,,7654579137
ID ASSOCIATES,121085-1,8/15/2023,TS,8883035534,emcreal@idassociatesinc.com#mailto:emcreal@idassociatesinc.com,1771 Industrial Road,,Dothan,AL,36303,3348361401,"Sign & Wonders WEN 13818 Yukon, OK",108 E. 9th Street,,Paden,OK,74860,Karen,4059324584
ID ASSOCIATES,122495,8/28/2023,TS,3348361400,,1771 Industrial Road,,Dothan,AL,36303,3348361401,"Wendy's site 13698 Amarillo, TX",6135 Soncy Rd.,,Amarillo,TX,79119,Store Manager,
ID ASSOCIATES,122580,9/5/2023,TS,3348361400,bgrantham@idassociatesinc.com#mailto:bgrantham@idassociatesinc.com,1771 Industrial Road,,Dothan,AL,36303,3348361401,Wendy's site 12898 Oakley - CA,1082 E Main St.,,Oakley,CA,94561,Store Manager,
"Inspired by Opportunity, LLC",117491-3,8/7/2023,TS,6166089024,,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site 09974 Tallahassee, FL",1494 Capital Circle NW,,Tallahassee,FL,32303,,
"Inspired by Opportunity, LLC",118765-1,8/25/2023,TS,6166089024,,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site 13439 Blytheville, AR",3779 E Main St,,Blytheville,AR,72315,,
"Inspired by Opportunity, LLC",121779,11/17/2023,TS,6166089024,RChenoweth@mhgi.net#mailto:RChenoweth@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's site 00153 Maumee, OH",914 Conant St.,,Maumee,OH,43537,Store Manager,
"Inspired by Opportunity, LLC",99791-6,8/23/2023,TS,9047601655,joelhahnenberg@aol.com#mailto:joelhahnenberg@aol.com,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site #01776 Jacksonville, FL",6238 103rd Street,,Jacksonville,FL,32210,,2162975887
"JAI Restaurant Group, LLC",119482-2,8/25/2023,TS,6023273845,,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's site 13813 Socorro, TX",10600 North Loop Dr,,Socorro,TX,79927,,
"JAI Restaurant Group, LLC",120026-2,8/25/2023,TS,6023273845,,1100 Park Central Blvd,Suite 3300,Pompano Beach,FL,33064,,"Wendy's Site 13415 El Paso, TX",929 Sunland Dr.,,El Paso,TX,79922,,
JMJ-LLC,122669,9/14/2023,TS,6234632885,vbrown@jmj-llc.com#mailto:vbrown@jmj-llc.com,5535 West Glenn Dale Dr.,,Glendale,AZ,85301,6234632886,"Wendy's Site #11430 Laveen, AZ",3520 W Baseline Rd,,Laveen,AZ,85339,,
Jordan's Crossing,114540,12/22/2023,JS,6145073246,,342 N Hague Ave,,Columbus,OH,43204,,Jordan's Crossing,342 N Hague Ave,,Columbus,OH,43204,,6145073246
KBR Corporation,122470,8/24/2023,TS,7033231424,devon@kbrcorp.com#mailto:devon@kbrcorp.com,10503-B  Broddock Rd.,,Fairfax,VA,22032,7033230922,CVS 2230 Frederick - MD,2040 Rosemont Ave,,Frederick,MD,21701,Store Manager,3016954811
Kiddie Academy of Charlotte NC,120360,8/31/2023,JS,4105155411,,Johnston Oehler Rd,& Warner Glen Dr,Charlotte,NC,28269,,Kiddie Academy of Charlotte NC,Johnston Oehler Rd,& Warner Glen Dr,Charlotte,NC,28269,,4105155411
"Kiddie Academy of Erie, CO",122060-1,10/3/2023,JS,4105150788,,641 Mitchell Way,,Erie,CO,80516,,"Kiddie Academy of Erie, CO",641 Mitchell Way,,Erie,CO,80516,,4105150788
Kiddie's Playgroup Management,122611,8/31/2023,JS,6305393555,jim.hansen@kiddieacademy.net#mailto:jim.hansen@kiddieacademy.net,2005 Bloomingdale Rd,Suite G,Glendale Heights,IL,60139,,Kiddie Academy of Schaumburg,1121 E. Higgins Rd,,Schaumburg,IL,60173,Jim Hansen,
Kuhns Group Inc,122341,8/25/2023,TS,9378629950,jerry@kuhnsgroupinc.com#mailto:jerry@kuhnsgroupinc.com,PO Box 317,,Spring Valley,OH,45370,9378629952,"Wendy's site 09474 Ft. Wayne, IN",10440 Maysville Rd.,,Ft. Wayne,IN,46835,Store Manager,
Kuhns Group Inc,122402,9/15/2023,TS,9378629950,tim@kuhnsgroupinc.com#mailto:tim@kuhnsgroupinc.com,PO Box 317,,Spring Valley,OH,45370,9378629952,"Wendy's site 07636 Ft. Wayne, IN",701 E. Dupont Rd.,,Ft. Wayne,IN,46825,Store Manager,
Lawson's Restaurants,122594,9/6/2023,TS,2706996239,milkman59@yahoo.com#mailto:milkman59@yahoo.com,804 West Main Street,,Lebanon,KY,40033,,Lawson's Restaurants,804 West Main Street,,Lebanon,KY,40033,,2706920470
"Legacy Restaurant Group, LLC",122469,8/24/2023,TS,7856084448,david.hochstedler@legacywendys.com#mailto:david.hochstedler@legacywendys.com,10916 Strang Line Rd,,Lenexa,KS,66215,7852665529,"Wendy's site 02194 Mission, KS",5900 Roeland Drive,,Mission,KS,66205,Store Manager,
"Legacy Restaurant Group, LLC",75022-2,9/1/2023,TS,7856084448,david.hochstedler@legacywendys.com#mailto:david.hochstedler@legacywendys.com,10916 Strang Line Rd,,Lenexa,KS,66215,7852665529,"Wendy's site 05774 Lawrence, KS",601 Kasold,,Lawrence,KS,66049,,
Lsi Industries,122475,9/7/2023,TS,7133294075,presleigh.bland@lsicorp.com#mailto:presleigh.bland@lsicorp.com,14902 Sommermeyer,Suit 120,Houston,TX,77041,7136907317,LSI Industries/ Phill 66,14902 Sommermeyer,Suit 120,Houston,TX,77041,,7137444194
Lsi Industries,122476,9/7/2023,TS,7133294075,,14902 Sommermeyer,Suit 120,Houston,TX,77041,7136907317,LSI Industries/ Phill 66,14902 Sommermeyer,Suit 120,Houston,TX,77041,,7137444194
Manna Inc,109342-7,8/24/2023,TS,5042064871,JVermeulen@bfcompanies.com#mailto:JVermeulen@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40245,5028553193,"Wendy's Site #11195 Ballwin, MO",14799 Manchester Rd.,,Ballwin,MO,63021,Store Manager,6366867341
Manna Inc,122726,9/6/2023,TS,6082153256,bruce.knutson@fazolis.com#mailto:bruce.knutson@fazolis.com,3309 Collins Lane,,Louisville,KY,40245,5028553193,"Fazoli's 5953 Stevens Point, WI",5665 US Hwy 10 E,,Stevens Point,WI,54481,Store Manager,
Manna Inc,87881-1,9/20/2023,TS,5028553183,SHettich@bfcompanies.com#mailto:SHettich@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40245,5028553193,"Wendy's site 11175 Arnold, MO",989 Jeffco Boulevard,,Arnold,MO,63010,Store Manager,
Manna Inc.,110636-4,8/4/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 02998 Danville, KY",1504 Hustonville Rd,,Danville,KY,40422,Store Manager,
Manna Inc.,110636-5,8/4/2023,TS,8154043232,,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 02998 Danville, KY",1504 Hustonville Rd,,Danville,KY,40422,,
Manna Inc.,110860-1,9/20/2023,TS,3144740858,swilson@bfcompanies.com#mailto:swilson@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11180 Alton, IL",1825 Homer M. Adams Pkwy,,Alton,IL,62002,Store Manager,
Manna Inc.,121911-2,9/7/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 03284 London, KY",21 Dogpatch Trading Center,,London,KY,40741,,
Manna Inc.,122368,9/8/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11157 Belleville, IL",5959 Belleville Crossing St,,Belleville,IL,62226,Store Manager,
Manna Inc.,122368-1,9/8/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11157 Belleville, IL",5959 Belleville Crossing St,,Belleville,IL,62226,Store Manager,
Manna Inc.,122369-1,8/16/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11154 Belleville, IL",2600 Green Mount Common Dr.,,Belleville,IL,62221,Store Manager,
Manna Inc.,122607,9/29/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11155 Collinsville, IL",1061 Collinsville Crossing,,Collinsville,IL,62234,Store Manager,
Manna Inc.,122607-1,9/29/2023,TS,8154043232,rdelage@bfcompanies.com#mailto:rdelage@bfcompanies.com,9719 S. Franklin Drive,,Franklin,WI,53132,6305158997,"Wendy's site 11155 Collinsville, IL",1061 Collinsville Crossing,,Collinsville,IL,62234,Store Manager,
MANNAIN002,122490,8/28/2023,TS,6082899918,elang@vabwendys.com,9719 S. Franklin Drive,-,Franklin,Wisconsin,53132,,"Wendy s 09338 Virginia Beach, VA",1185 Nimmo Parkway,-,Virginia Beach,VA,23456,,
Meritage Hospitality Group,103364-2,9/14/2023,TS,2162975887,tdavis@mhgi.net#mailto:tdavis@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site #01762 Jacksonville, FL",3910 University BLVD West,,Jacksonville,FL,32217,Store manager,
Meritage Hospitality Group,964225-2,9/20/2023,TS,6165501439,gpennington@mhgi.net#mailto:gpennington@mhgi.net,3310 Eagle Park Dr.,,Grand Rapids,MI,49525,,"WEN #08714 Portland, MI",1695 East Grand River Ave,,Portland,MI,48875,,6165501439
Meritage Hospitality Group Inc.,122406,8/17/2023,TS,6785519084,dpalmer@mhgi.net#mailto:dpalmer@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,Darrell Palmer,722 Melrose Trace,,Dacula,GA,30019,,6785519084
Meritage Hospitality Group Inc.,122662,12/8/2023,TS,6166089024,RChenoweth@mhgi.net#mailto:RChenoweth@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site 09046 Big Springs, TX",2311 S. Gregg St,,Big Spring,TX,79720,Store Manager,
Meritage Hospitality Group Inc.,99359-4,9/1/2023,TS,6785519084,dpalmer@mhgi.net#mailto:dpalmer@mhgi.net,45 Ottawa Ave. SW,Suite 600,Grand Rapids,MI,49503,6167762776,"Wendy's Site #10532 Lawrenceville, GA",165 Scenic Hwy,,Lawrenceville,GA,30046,Store Manager,
"Monro, Inc",122587,9/9/2023,JS,5856295991,mindi.collum@monro.com#mailto:mindi.collum@monro.com,200 Holleder Pkwy,,Rochester,NY,14615,,"Tire Choice 1268 Venice, FL",4060 S Tamiami Trail,,Venice,FL,,,
